urn:cts:greekLit:tlg0019.tlg009.fu.sp:13.1.text.token.5
<p>**Phrynichus** (Greek: Φρύνιχος; c. 540–470 BC) was an Athenian tragic poet, pupil of Thespis, and older contemporary of Aeschylus, active in the development of early Greek tragedy during the late 6th and early 5th centuries BC. He secured multiple victories at tragic competitions, with his first dated between 511 and 508 BC and his last in 476 BC under the choregia of Themistocles. Phrynichus is credited with innovations such as introducing the female mask to the stage, though this attribution is debated, and his works were praised in antiquity for their lyrical sweetness and elaborate choreography.</p><p>His tragedy *The Capture of Miletus*, produced shortly after the Persian sack of that city in 494 BC, provoked intense grief among Athenian spectators for evoking their allied city's recent misfortunes, resulting in a fine of 1,000 drachmas against Phrynichus and a ban on future performances, as recorded by Herodotus. Another notable play, *Phoenician Women*, likely commemorated the Greek victory at Salamis and influenced Aeschylus's *Persians*, with its chorus of Phoenician women's laments highlighting Phrynichus's focus on emotional and historical themes over mythic subjects.<\p><p>His name does not appear as a *lemma* in the *LSJ* lexicon, but an adjective, Φρῡνίχειος, "Like Phrynichus" does: <urn:cite2:hmt:lsj.chicago_md:n112438>.</p>

urn:cts:greekLit:tlg0019.tlg009.fu.sp:14.1.text.token.5
<p>**κἀμειψίας** = καὶ Ἀμειψίας, "and Ameipsias".</p><p>Ameipsias (Ancient Greek: Ἀμειψίας) was an Athenian comic poet active during the late 5th century BCE, renowned as a contemporary and rival of Aristophanes in the genre of Old Comedy. His career spanned major dramatic festivals like the City Dionysia, where he achieved notable successes, including second place for his play Connus in 423 BC—ahead of Aristophanes' *Clouds*—and first prize for *Comastae* in 414 BC, surpassing Aristophanes' *Birds*. These works often satirized intellectual figures such as Socrates and sophists, with *Connus* featuring a chorus of *phrontistae* (thinkers) and themes of education and culture akin to those in Clouds.</p><p>Seven titles of Ameipsias' comedies are attested, including *Apokottabizontes*, *Moikhoi*, and *Sappho*, though only fragments survive, preserving witty critiques of contemporary Athenian society, music, and philosophy. His style aligned with the exuberant, politically charged Old Comedy, contributing to the competitive theatrical landscape of classical Athens, where he twice bested Aristophanes in contests. While little is known of his personal life, Ameipsias' output likely extended into the early 4th century BC, bridging Old and Middle Comedy traditions.</p>

urn:cts:greekLit:tlg0019.tlg009.fu.sp:14.1.text.token.4
**Λύκις**. ????

urn:cts:greekLit:tlg0019.tlg009.fu.sp:3.1.text.token.11
πιέζομαι ???

2-obols refernce:
	In *Frogs*: 
	Elsewhere: 
		- <https://www.cs.uky.edu/~raphael/sol/sol-cgi-bin/search.cgi>
		- <https://www.cs.uky.edu/~raphael/sol/sol-cgi-bin/search.cgi?login=guest&enlogin=guest&db=REAL&field=adlerhw_gr&searchstr=theta,219>
		- <https://www.cs.uky.edu/~raphael/sol/sol-cgi-bin/search.cgi?login=guest&enlogin=guest&db=REAL&field=adlerhw_gr&searchstr=theta,220>
		- <https://www.cs.uky.edu/~raphael/sol/sol-cgi-bin/search.cgi?login=guest&enlogin=guest&db=REAL&field=adlerhw_gr&searchstr=theta,223>
		- Demosthenes, de Cor. 28.

	

